cid,iupac_name
3001,"[2-(10,13-dimethyl-3-oxo-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-17-yl)-2-oxoethyl] acetate"
3002,"[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [4-[[3-(ethylamino)-3-oxopropyl]amino]-3-hydroxy-2,2-dimethyl-4-oxobutyl] hydrogen phosphate"
3003,"9-fluoro-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one"
3004,"3-[2-(9-fluoro-11,17-dihydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl)-2-oxoethoxy]carbonylbenzenesulfonic acid"
3005,"[2-(9-fluoro-11,17-dihydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl)-2-oxoethyl] hexadecanoate"
3006,"[2-(9-fluoro-11,17-dihydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl)-2-oxoethyl] phosphate"
3007,1-phenylpropan-2-amine
3008,"4-methoxy-17-methyl-17-azatetracyclo[7.5.3.01,10.02,7]heptadeca-2(7),3,5-triene"
3009,"2,5-diamino-2-(difluoromethyl)pentanoic acid"
3010,[6-(decylamino)-1H-indol-4-yl]methanol
3011,"icosa-8,11,14-trienoic acid"
3012,"6-[2-[4-[(4-fluorophenyl)-phenylmethylidene]piperidin-1-yl]ethyl]-7-methyl-[1,3]thiazolo[3,2-a]pyrimidin-5-one"
3013,3-[2-[4-[bis(4-fluorophenyl)methylidene]piperidin-1-yl]ethyl]-2-sulfanylquinazolin-4-one
3014,tridecyl 2-(hydroxymethyl)-6-oxooxane-3-carboxylate
3015,"15-acetyl-9-chloro-15-hydroxy-2,16-dimethylpentacyclo[9.7.0.02,8.03,5.012,16]octadeca-7,9-dien-6-one"
3016,"7-chloro-1-methyl-5-phenyl-3H-1,4-benzodiazepin-2-one"
3017,diethoxy-(6-methyl-2-propan-2-ylpyrimidin-4-yl)oxy-sulfanylidene-lambda5-phosphane
3018,"ethyl N-[2,5-dicyclopropyl-4-(ethoxycarbonylamino)-3,6-dioxocyclohexa-1,4-dien-1-yl]carbamate"
3019,"7-chloro-3-methyl-4H-1lambda6,2,4-benzothiadiazine 1,1-dioxide"
3020,"8,16-bis(4-hydroxyphenyl)-9-[4,6,9,12-tetrahydroxy-8,16-bis(4-hydroxyphenyl)-15-oxatetracyclo[8.6.1.02,7.014,17]heptadeca-2(7),3,5,10(17),11,13-hexaen-9-yl]-15-oxatetracyclo[8.6.1.02,7.014,17]heptadeca-2(7),3,5,10(17),11,13-hexaene-4,6,9,12-tetrol"
3021,"4-amino-2-[4,6-diamino-3-[3-amino-6-(aminomethyl)oxan-2-yl]oxy-2-hydroxycyclohexyl]oxy-6-(hydroxymethyl)oxane-3,5-diol"
3022,"dibenzofuran-4,6-dicarboxylic acid"
3023,dibenzothiophene
3024,dibromomethane
3025,2-butoxy-N-[2-(diethylamino)ethyl]quinoline-4-carboxamide
3026,"dibutyl benzene-1,2-dicarboxylate"
3027,"[5-[2-(butanoylamino)-6-oxo-4,5-dihydro-1H-purin-9-yl]-2-oxido-2-oxo-3a,5,6,6a-tetrahydrofuro[2,3-d][1,3,2]dioxaphosphol-6-yl] butanoate"
3028,"[5-[2-(butanoylamino)-6-oxo-4,5-dihydro-1H-purin-9-yl]-2-hydroxy-2-oxo-3a,5,6,6a-tetrahydrofuro[2,3-d][1,3,2]dioxaphosphol-6-yl] butanoate"
3029,"[6-[6-(butanoylamino)purin-9-yl]-2-oxido-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-yl] butanoate"
3030,"3,6-dichloro-2-methoxybenzoic acid"
3031,"2,6-dichlorobenzonitrile"
3032,"2-[2-(2,6-dichloroanilino)phenyl]acetate"
3033,"2-[2-(2,6-dichloroanilino)phenyl]acetic acid"
3034,"3,5-diamino-6-chloro-N-[1-[(2,4-dichlorophenyl)methylamino]ethenyl]pyrazine-2-carboxamide"
3035,"1-chloro-4-[2,2-dichloro-1-(4-chlorophenyl)ethenyl]benzene"
3036,"1-chloro-4-[2,2,2-trichloro-1-(4-chlorophenyl)ethyl]benzene"
3037,4-chloro-2-[(5-chloro-2-hydroxyphenyl)methyl]phenol
3038,"4,5-dichlorobenzene-1,3-disulfonamide"
3039,"2,2-dichloroethenyl dimethyl phosphate"
3040,"6-[[3-(2,6-dichlorophenyl)-5-methyl-1,2-oxazole-4-carbonyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate"
3041,"6-[[3-(2,6-dichlorophenyl)-5-methyl-1,2-oxazole-4-carbonyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid"
3042,2-(diethylamino)ethyl 1-cyclohexylcyclohexane-1-carboxylate
3043,9-[5-(hydroxymethyl)oxolan-2-yl]-3H-purin-6-one
3044,5-(6-aminopurin-9-yl)-2-methyloxolan-3-ol
3045,"N,3,4-trihydroxybenzamide"
3046,disodium;5-isothiocyanato-2-[2-(2-sulfonato-4-thiocyanatophenyl)ethenyl]benzenesulfonate
3047,5-isothiocyanato-2-[2-(2-sulfo-4-thiocyanatophenyl)ethenyl]benzenesulfonic acid
3048,"3,4,5,6,13,13-hexachloro-10-oxapentacyclo[6.3.1.13,6.02,7.09,11]tridec-4-ene"
3049,"4-[4-(4-hydroxyphenyl)hexa-2,4-dien-3-yl]phenol"
3050,1-(diethoxyphosphorylmethyl)-4-methylbenzene
3051,ethoxycarbonyl ethyl carbonate
3052,"N,N-diethyl-4-methylpiperazine-1-carboxamide"
3053,2-[bis[2-[bis(carboxymethyl)amino]ethyl]amino]acetic acid
3054,4-[4-(4-hydroxyphenyl)hex-3-en-3-yl]phenol
3055,"1,1-diphenyl-4-piperidin-1-ylbutan-1-ol"
3056,"[2-(17-acetyloxy-6,9-difluoro-11-hydroxy-10,13,16-trimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl)-2-oxoethyl] acetate"
3057,"[2-(6,9-difluoro-11-hydroxy-10,13,16-trimethyl-3-oxo-7,8,11,12,14,15,16,17-octahydro-6H-cyclopenta[a]phenanthren-17-yl)-2-oxoethyl] 2,2-dimethylpropanoate"
3058,"[2-(6,9-difluoro-11-hydroxy-10,13,16-trimethyl-3-oxo-7,8,11,12,14,15,16,17-octahydro-6H-cyclopenta[a]phenanthren-17-yl)-2-oxoethyl] pentanoate"
3059,"5-(2,4-difluorophenyl)-2-hydroxybenzoic acid"
3060,"[17-(2-acetyloxyacetyl)-6,9-difluoro-11-hydroxy-10,13-dimethyl-3-oxo-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-17-yl] butanoate"
3061,"3-[3-[5-[5-(4,5-dihydroxy-6-methyloxan-2-yl)oxy-4-hydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-14-hydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2H-furan-5-one"
3062,"3-[3-[5-[5-(4,5-dihydroxy-6-methyloxan-2-yl)oxy-4-hydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-12,14-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2H-furan-5-one"
3063,"9-methoxy-3-methyl-2,4,4a,5,6,7,7a,13-octahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinolin-7-ol"
3064,"19-benzyl-6,15-dihydroxy-10,17-dimethyl-16-methylidene-2-oxa-20-azatricyclo[12.7.0.01,18]henicos-12-ene-3,21-dione"
3065,"N-(7-benzyl-2-hydroxy-5,8-dioxo-4-propan-2-yl-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl)-7-methyl-6,6a,8,9,10,10a-hexahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
3066,"N-(7-benzyl-2-hydroxy-4-methyl-5,8-dioxo-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl)-7-methyl-6,6a,8,9,10,10a-hexahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
3067,"N-[2-hydroxy-5,8-dioxo-4,7-di(propan-2-yl)-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide"
3068,"4-[1,5,11,14-tetrahydroxy-10-(hydroxymethyl)-13-methyl-3-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-2,3,4,6,7,8,9,11,12,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl]oxolan-2-one"
3069,"2-[3-(diaminomethylideneamino)-4-[3-[4,5-dihydroxy-6-(hydroxymethyl)-3-(methylamino)oxan-2-yl]oxy-4-hydroxy-4-(hydroxymethyl)-5-methyloxolan-2-yl]oxy-2,5,6-trihydroxycyclohexyl]guanidine"
3070,"3-[2-[1-(5,6-dimethylhept-3-en-2-yl)-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylcyclohexan-1-ol"
3071,3-(1H-indol-3-ylmethyl)-1H-indole
3072,2-propan-2-yloxyphosphonoyloxypropane
3073,2-[methyl(propan-2-yloxy)phosphoryl]oxypropane
3074,"3-[4-[3-(3,4,5-trimethoxybenzoyl)oxypropyl]-1,4-diazepan-1-yl]propyl 3,4,5-trimethoxybenzoate"
3075,"2-[3-acetyloxy-2-(4-methoxyphenyl)-4-oxo-2,3-dihydro-1,5-benzothiazepin-5-yl]ethyl-dimethylazanium"
3076,"[5-[2-(dimethylamino)ethyl]-2-(4-methoxyphenyl)-4-oxo-2,3-dihydro-1,5-benzothiazepin-3-yl] acetate"
3077,3-(dimethylamino)propyl carbamimidothioate
3078,8-[(dimethylamino)methyl]-7-methoxy-3-methyl-2-phenylchromen-4-one
3079,"4,17-dimethyl-17-azatetracyclo[7.5.3.01,10.02,7]heptadeca-2(7),3,5-triene"
3080,"2,3-bis(sulfanyl)propan-1-ol"
3081,"5,5-dimethyl-1,3-oxazolidine-2,4-dione"
3082,2-dimethoxyphosphinothioylsulfanyl-N-methylacetamide
3083,"tetrasodium;2-[[2-[bis(carboxylatomethyl)amino]-2-(4,5-dimethoxy-2-nitrophenyl)ethyl]-(carboxylatomethyl)amino]acetate"
3084,"2-[[2-[bis(carboxymethyl)amino]-2-(4,5-dimethoxy-2-nitrophenyl)ethyl]-(carboxymethyl)amino]acetic acid"
3085,N'-methoxycarbonyl-N-[2-[(N-methoxycarbonyl-C-sulfanylcarbonimidoyl)amino]phenyl]carbamimidothioic acid
3086,methoxycarbonyl methyl carbonate
3087,"2,3-di(octadecanoyloxy)propyl-(2-hydroxyethyl)-dimethylazanium"
3088,"2-(dimethylamino)ethyl 6,7-dimethoxy-16-methyl-17-oxa-3,13-diazapentacyclo[11.8.0.02,10.04,9.015,20]henicosa-2(10),4,6,8,18-pentaene-19-carboxylate"
3089,"10-[2-(dimethylamino)propyl]-N,N-dimethylphenothiazine-2-sulfonamide"
3090,"1,2-dimethyl-5-nitroimidazole"
3091,N-butyl-N-[2-[butyl(morpholine-4-carbonyl)amino]ethyl]morpholine-4-carboxamide
3092,"2-methyl-3,5-dinitrobenzamide"
3093,2-octanoyloxyethyl octanoate
3094,N-octyloctan-1-amine
3095,"7-(4,5-dimethoxy-2-methylnaphthalen-1-yl)-1,3-dimethyl-1,2,3,4-tetrahydroisoquinolin-8-ol"
3096,"4-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-7-[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl]oxan-2-yl]oxychromen-5-one"
3097,(2-hydroxy-3-methoxyphenyl)-(2-hydroxyphenyl)methanone
3098,"sodium;2,3-di(hexadecanoyloxy)propyl hydrogen phosphate"
3099,(2-hexadecanoyloxy-3-phosphonooxypropyl) hexadecanoate
3100,"2-benzhydryloxy-N,N-dimethylethanamine"
3101,"8-iodoniatricyclo[7.4.0.02,7]trideca-1(13),2,4,6,9,11-hexaene"
3102,diphenylmethanone
3103,4-benzhydryloxy-1-methylpiperidine
3104,"[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-[[hydroxy(phosphonooxy)phosphoryl]methyl]phosphinic acid"
3105,"[2-(2,2-dimethylpropanoyloxy)-4-[1-hydroxy-2-(methylamino)ethyl]phenyl] 2,2-dimethylpropanoate"
3106,"4-[2-(dipropylamino)ethyl]benzene-1,2-diol"
3107,2-[[1-(2-amino-3-methylpentanoyl)pyrrolidine-2-carbonyl]amino]-3-methylpentanoic acid
3108,"2-[[2-[bis(2-hydroxyethyl)amino]-4,8-di(piperidin-1-yl)pyrimido[5,4-d]pyrimidin-6-yl]-(2-hydroxyethyl)amino]ethanol"
3109,1-oxido-2-[(1-oxidopyridin-1-ium-2-yl)disulfanyl]pyridin-1-ium
3110,"[(1,5-dimethyl-3-oxo-2-phenylpyrazol-4-yl)-methylamino]methanesulfonate"
3111,"[(1,5-dimethyl-3-oxo-2-phenylpyrazol-4-yl)-methylamino]methanesulfonic acid"
3112,3-[5-[[3-(2-carboxyethyl)-4-(carboxymethyl)-5-methyl-2H-pyrrol-2-yl]methyl]-4-(carboxymethyl)-2H-pyrrol-3-yl]propanoic acid
3113,"19-bromo-15-thia-4,9,13-triazahexacyclo[12.6.1.13,7.01,16.02,12.010,22]docosa-2,5,7,10(22),12,16,19-heptaene-11,18-dione"
3114,4-[di(propan-2-yl)amino]-2-phenyl-2-pyridin-2-ylbutanamide
3115,N-[5-[[5-[(3-amino-3-iminopropyl)carbamoyl]-1-methylpyrrol-3-yl]carbamoyl]-1-methylpyrrol-3-yl]-4-formamido-1-methylpyrrole-2-carboxamide
3116,(1-methylpyridin-1-ium-3-yl) N-methyl-N-[6-[methyl-(1-methylpyridin-1-ium-3-yl)oxycarbonylamino]hexyl]carbamate
3117,"diethylcarbamothioylsulfanyl N,N-diethylcarbamodithioate"
3118,diethoxy-(2-ethylsulfanylethylsulfanyl)-sulfanylidene-lambda5-phosphane
3119,"10-methoxy-2-[2-[4-[1-[2-(10-methoxy-7H-pyrido[4,3-c]carbazol-2-ium-2-yl)ethyl]piperidin-4-yl]piperidin-1-yl]ethyl]-7H-pyrido[4,3-c]carbazol-2-ium"
3120,"3-(3,4-dichlorophenyl)-1,1-dimethylurea"
3121,2-propylpentanoic acid
3122,2-amino-7-phosphonoheptanoic acid
3123,2-amino-8-phosphonooctanoic acid
3124,"2-amino-6-methyl-5,6,7,8-tetrahydro-1H-pteridin-4-one"
3125,2-amino-3-(4-hydroxyphenyl)-2-methylpropanoic acid
3126,"2-aminooctadecane-1,3-diol"
3127,1-(4-chlorophenyl)propan-2-amine
3128,1-(4-chlorophenyl)-N-methylpropan-2-amine
